model,sample_id,dataset,image_name,processing_time,text_similarity,text_precision,text_recall,text_f1,text_predicted_length,text_ground_truth_length,detection_precision,detection_recall,detection_f1,avg_iou
google_vision,0,French,12_0bb90_default.jpg,0.8097476959228516,0.4360821990926074,0.8095238095238095,0.8034825870646766,0.8064918851435705,3699,3795,,,,
google_vision,1,French,14_e26ee_default.jpg,1.3697283267974854,0.976112779010573,0.9764705882352941,0.9707602339181286,0.9736070381231672,3843,3818,,,,
google_vision,2,French,2_f1a3f_default.jpg,0.5380716323852539,0.30338983050847457,0.5689655172413793,0.559322033898305,0.5641025641025641,582,598,,,,
google_vision,3,French,8_5eeab_default.jpg,0.9008545875549316,0.43132530120481927,0.7612732095490716,0.7572559366754618,0.7592592592592592,3693,3777,,,,
google_vision,4,French,10_10fe5_default.jpg,1.265711784362793,0.8978652690783587,0.8167539267015707,0.8020565552699229,0.8093385214007781,3878,3945,,,,
google_vision,5,French,16_e8fb7_default.jpg,0.8789644241333008,0.38642857142857145,0.9447513812154696,0.957983193277311,0.9513212795549375,4177,4223,,,,
google_vision,6,French,17_24e64_default.jpg,1.0283358097076416,0.8313717321112384,0.9613636363636363,0.9591836734693877,0.9602724177071509,4751,4850,,,,
google_vision,7,French,11_ef202_default.jpg,1.3329765796661377,0.9006095944871455,0.8131578947368421,0.8089005235602095,0.8110236220472441,3724,3822,,,,
google_vision,8,French,5_1df9d_default.jpg,0.7926595211029053,0.8011422637590861,0.8268733850129198,0.8040201005025126,0.8152866242038216,3820,3884,,,,
google_vision,9,French,18_ac1da_default.jpg,0.9941534996032715,0.8091522564318853,0.9498806682577565,0.9408983451536643,0.9453681710213777,4686,4798,,,,
google_vision,10,English,0060080406.png,0.7079987525939941,0.3263157894736842,0.8478260869565217,0.823943661971831,0.8357142857142856,1141,1139,,,,
google_vision,11,English,0001477983.png,0.2947399616241455,0.17368140649973363,0.8722222222222222,0.9075144508670521,0.8895184135977338,1901,1853,,,,
google_vision,12,English,88547278_88547279.png,0.28649139404296875,0.4361562088635366,0.5838150289017341,0.8416666666666667,0.689419795221843,1452,827,,,,
google_vision,13,English,92094746.png,0.24489927291870117,0.10451045104510451,0.8598130841121495,0.8141592920353983,0.8363636363636363,904,914,,,,
google_vision,14,English,0001239897.png,0.1998310089111328,0.05388069275176395,0.6172839506172839,0.5617977528089888,0.588235294117647,771,788,,,,
google_vision,15,English,00836816.png,0.2276153564453125,0.7331064657267866,0.7946428571428571,0.7355371900826446,0.7639484978540771,1030,1027,,,,
google_vision,16,English,00860012_00860014.png,0.27150535583496094,0.02243713733075435,0.8187919463087249,0.7973856209150327,0.8079470198675497,1303,1282,,,,
google_vision,17,English,71108371.png,0.3604559898376465,0.24505494505494504,0.9345238095238095,0.9457831325301205,0.9401197604790419,1847,1793,,,,
google_vision,18,English,01122115.png,0.7258448600769043,0.1534526854219949,0.75,0.6737967914438503,0.7098591549295775,1364,1373,,,,
google_vision,19,English,00836244.png,0.2534210681915283,0.09854771784232365,0.6212121212121212,0.5655172413793104,0.592057761732852,968,960,,,,
spatial_easyocr,0,French,12_0bb90_default.jpg,9.013912916183472,0.2990904226859283,0.6577669902912622,0.6741293532338308,0.6658476658476659,3711,3795,0.053864168618266976,0.18699186991869918,0.08363636363636363,0.6254782291405362
spatial_easyocr,1,French,14_e26ee_default.jpg,8.57074785232544,0.09215017064846416,0.8490028490028491,0.8713450292397661,0.86002886002886,3832,3818,0.06965174129353234,0.22764227642276422,0.10666666666666666,0.6902232363006168
spatial_easyocr,2,French,2_f1a3f_default.jpg,2.0678975582122803,0.3250214961306965,0.43548387096774194,0.4576271186440678,0.4462809917355372,567,598,0.20754716981132076,0.4782608695652174,0.2894736842105263,0.674402000859434
spatial_easyocr,3,French,8_5eeab_default.jpg,8.852619886398315,0.26969615488034415,0.6675324675324675,0.6781002638522428,0.6727748691099477,3691,3777,0.06310679611650485,0.21666666666666667,0.09774436090225565,0.6182692464630694
spatial_easyocr,4,French,10_10fe5_default.jpg,9.488999605178833,0.26861838726245507,0.7040816326530612,0.7095115681233933,0.706786171574904,3872,3945,0.0455531453362256,0.17073170731707318,0.07191780821917809,0.6368545410635934
spatial_easyocr,5,French,16_e8fb7_default.jpg,9.928372859954834,0.20336538461538461,0.8465753424657534,0.865546218487395,0.8559556786703602,4145,4223,0.09158415841584158,0.3217391304347826,0.14258188824662812,0.652279298540589
spatial_easyocr,6,French,17_24e64_default.jpg,11.179064750671387,0.14820280383682935,0.8635346756152126,0.8752834467120182,0.8693693693693694,4694,4850,0.09268292682926829,0.3089430894308943,0.14258911819887432,0.679116722169555
spatial_easyocr,7,French,11_ef202_default.jpg,9.24196171760559,0.21104327050703478,0.712082262210797,0.725130890052356,0.7185473411154345,3734,3822,0.04666666666666667,0.17073170731707318,0.07329842931937174,0.6240648329515798
spatial_easyocr,8,French,5_1df9d_default.jpg,9.084832906723022,0.1989065347565738,0.7480916030534351,0.7386934673366834,0.7433628318584072,3812,3884,0.0673076923076923,0.22580645161290322,0.1037037037037037,0.6228022446187377
spatial_easyocr,9,French,18_ac1da_default.jpg,10.668379783630371,0.0910544834204073,0.8135198135198135,0.8250591016548463,0.8192488262910798,4643,4798,0.1348314606741573,0.39344262295081966,0.200836820083682,0.6755403118025601
spatial_easyocr,10,English,0060080406.png,1.525132179260254,0.03233256351039261,0.40601503759398494,0.38028169014084506,0.3927272727272727,1028,1139,0.3486238532110092,0.6440677966101694,0.4523809523809524,0.7036501335072036
spatial_easyocr,11,English,0001477983.png,1.4245059490203857,0.087527352297593,0.6382978723404256,0.6936416184971098,0.664819944598338,1803,1853,0.3880597014925373,0.4262295081967213,0.40624999999999994,0.7703695573784188
spatial_easyocr,12,English,88547278_88547279.png,1.4905717372894287,0.3948979591836735,0.5481481481481482,0.6166666666666667,0.580392156862745,1145,827,0.34210526315789475,0.65,0.4482758620689655,0.7428121056264497
spatial_easyocr,13,English,92094746.png,1.0018746852874756,0.12570781426953567,0.5490196078431373,0.49557522123893805,0.5209302325581394,852,914,0.5853658536585366,0.7058823529411765,0.64,0.7392379035995895
spatial_easyocr,14,English,0001239897.png,1.1776726245880127,0.015363128491620111,0.07142857142857142,0.06741573033707865,0.06936416184971098,647,788,0.3333333333333333,0.48936170212765956,0.396551724137931,0.7099824084133924
spatial_easyocr,15,English,00836816.png,1.4704105854034424,0.07162534435261708,0.26605504587155965,0.2396694214876033,0.25217391304347825,789,1027,0.12,0.41379310344827586,0.18604651162790695,0.7446006355620982
spatial_easyocr,16,English,00860012_00860014.png,1.3250041007995605,0.26330532212885155,0.5874125874125874,0.5490196078431373,0.5675675675675677,1219,1282,0.5113636363636364,0.7377049180327869,0.6040268456375839,0.7698873876471244
spatial_easyocr,17,English,71108371.png,1.5055060386657715,0.19031241043278876,0.5988700564971752,0.6385542168674698,0.6180758017492711,1697,1793,0.5918367346938775,0.7160493827160493,0.64804469273743,0.7433790029162451
spatial_easyocr,18,English,01122115.png,1.946929931640625,0.22684310018903592,0.6069364161849711,0.5614973262032086,0.5833333333333334,1272,1373,0.18461538461538463,0.3829787234042553,0.2491349480968858,0.6891318941884019
spatial_easyocr,19,English,00836244.png,1.383692741394043,0.10689655172413794,0.28205128205128205,0.22758620689655173,0.25190839694656486,780,960,0.3645833333333333,0.3888888888888889,0.3763440860215054,0.6886660541355479
spatial_google_vision,0,French,12_0bb90_default.jpg,0.8134655952453613,0.4360821990926074,0.8095238095238095,0.8034825870646766,0.8064918851435705,3699,3795,0.0,0.0,0.0,0.0
spatial_google_vision,1,French,14_e26ee_default.jpg,1.3765437602996826,0.9708915285210808,0.9764705882352941,0.9707602339181286,0.9736070381231672,3843,3818,0.0,0.0,0.0,0.0
spatial_google_vision,2,French,2_f1a3f_default.jpg,0.5343761444091797,0.30338983050847457,0.5689655172413793,0.559322033898305,0.5641025641025641,582,598,0.019417475728155338,0.08695652173913043,0.031746031746031744,0.5508236852391983
